name,original_designation,county,wikipedia_url,status,match_confidence,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Michael A. Bock,Staff Sergeant Michael A. Bock Memorial Highway,Lake,Not Found,Not Found,10.7,false,seq=9.7; mil:+15; fl-miss:-10; county-miss:-8,,,,,,,,,,,
Jess Thomas,Sergeant Jess Thomas Memorial Highway,Lake,Not Found,Not Found,0.0,false,seq=20.0; mil-missing:-50; fl-miss:-10; county-miss:-8,,,,,,,,,,,
Ronald Gaffney,Specialist Ronald Gaffney Memorial Highway,Lake,Not Found,Not Found,0.0,false,seq=14.8; mil-missing:-50; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Jim Tullis,Jim Tullis Memorial Boulevard,Duval,https://en.wikipedia.org/wiki/James_B._Fuller,Found,61.6,true,seq=9.6; last-mismatch:-4; human:+40; fl:+10; county:+8,"James B. Fuller was an American politician who served in public office during the 20th century. He was a member of the Florida House of Representatives, contributing to state-level governance and legislative processes. Fuller later held the position of Duval County Clerk of Courts, overseeing administrative and judicial operations in the county. His career reflects a commitment to public service within Florida’s political and legal systems.",,,,not found,not found,male,no,yes,no,no
Allan Bense,Allan Bense Highway,Bay,https://en.wikipedia.org/wiki/Allan_Bense,Found,67.0,true,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Allan Bense was an American businessman and politician born on October 25, 1947. He served as the Speaker of the Florida House of Representatives from 2004 to 2006, marking a significant period in Florida's political history. Bense was also known for his leadership in the Republican Party and his advocacy for conservative policies. He passed away on July 10, 2014, leaving behind a legacy in Florida politics and business.",,1947-10-25,2014-07-10,not found,not found,male,no,yes,no,no
Martin Luther King Jr,"Dr. Martin Luther King Jr., Memorial Highway",Brevard,Not Found,Not Found,20.2,false,seq=16.2; last-mismatch:-4; fl:+10; county-miss:-8,,,,,,,,,,,
Von Mizell,Dr. Von Mizell Drive,Broward,https://en.wikipedia.org/wiki/Eula_Johnson,Found,63.0,true,seq=3.6; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5,"Eula Johnson was a civil rights activist best known for her leadership in the 1960s desegregation efforts in St. Augustine, Florida. Born in 1916, she played a pivotal role in organizing protests and sit-ins against racial segregation, working closely with figures like Dr. Martin Luther King Jr. As president of the local NAACP Youth Council, she mentored young activists and helped coordinate nonviolent demonstrations that contributed to the passage of the Civil Rights Act of 1964. Johnson's advocacy left a lasting impact on the civil rights movement, though her exact death date remains less documented in widely available sources.",,1916-01-01,,"St. Augustine, Florida, United States",not found,female,no,yes,no,no
Robert L. Clark,Robert L. Clark Memorial Highway,Broward,Not Found,Not Found,23.0,false,seq=3.5; last-mismatch:-4; fl:+10; county:+8; us:+5,,,,,,,,,,,
Charles Simeon Dean,Sheriff Charles Simeon Dean Highway,Citrus,Not Found,Not Found,0.0,false,seq=10.0; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8,,,,,,,,,,,
James Harold Thompson,James Harold Thompson Highway,Gadsden,Not Found,Not Found,11.3,false,seq=10.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
